NodeIndex,NodeLabel,NodeType,NodeShape,NodeSize,NodeColor
151,"Hayano, David M.",Author,Circle,1,Light Blue
152,"Hazard, Samuel",Author,Circle,1,Light Blue
153,"Hedström, Peter; Sandell, Rickard; Stern, Charlotta",Author,Circle,1,Light Blue
154,"Helgesen, Geir",Author,Circle,1,Light Blue
155,"Hellmann, Olli",Author,Circle,1,Light Blue
156,"Helm, June",Author,Circle,1,Light Blue
157,"Henry, Jules",Author,Circle,1,Light Blue
158,"Heo, Uk; Stockton, Hans",Author,Circle,1,Light Blue
159,"Herbert, Simon",Author,Circle,1,Light Blue
160,"Hermanns, Heike",Author,Circle,1,Light Blue
161,"Hewlett, Barry S.; Cavalli-Sforza, L. L.",Author,Circle,1,Light Blue
162,"Hicks, Frederic",Author,Circle,1,Light Blue
163,"Hix, Simon; Jun, Hae-Won",Author,Circle,1,Light Blue
164,"Hoadley, John F.",Author,Circle,1,Light Blue
165,"Hochul, Sonn",Author,Circle,1,Light Blue
166,"Holland, Paul W.; Leinhardt, Samuel",Author,Circle,1,Light Blue
167,"Horowitz, Shale; Kim, Sunwoong",Author,Circle,1,Light Blue
168,"House, Floyd N.",Author,Circle,1,Light Blue
169,"Housley, Norman",Author,Circle,1,Light Blue
170,"Hsu, Chien-leng; Park, Han-Woo",Author,Circle,1,Light Blue
171,"Hummon, Norman P; Doreian, Patrick",Author,Circle,1,Light Blue
172,"Hundt, David; Kim, Jaechun",Author,Circle,1,Light Blue
173,"Hwang, Ah-Ran",Author,Circle,1,Light Blue
174,"Hwang, Ah-Ran; Seo, Bokyeung",Author,Circle,1,Light Blue
175,"Hwang, Sungwook",Author,Circle,1,Light Blue
176,"Hwang, Sungwook; Kim, Hyo Jung",Author,Circle,1,Light Blue
177,"Ikegami, Eiko; Harrington, Ann M.",Author,Circle,1,Light Blue
178,"Ikramov, M. A.; Shermukhamedov, A. T.; Shermukhamedov, U. A.",Author,Circle,1,Light Blue
179,"Im, Hyug Baeg",Author,Circle,1,Light Blue
180,"Isbell, Lynne A.; Young, Truman P.",Author,Circle,1,Light Blue
181,"Ishiyama, John",Author,Circle,1,Light Blue
182,"Iverson, Geoffrey J.; Sade, Donald Stone",Author,Circle,1,Light Blue
183,"Ives, John W.",Author,Circle,1,Light Blue
184,"Jackson, Matthew O.; Wolinsky, Asher",Author,Circle,1,Light Blue
185,"Jackson, Michael",Author,Circle,1,Light Blue
186,"Jacobs, Jane",Author,Circle,1,Light Blue
187,"James, Alfred P.",Author,Circle,1,Light Blue
188,"Janowitz, Morris",Author,Circle,1,Light Blue
189,"Janzen, Rod",Author,Circle,1,Light Blue
190,"Jd, Bygott",Author,Circle,1,Light Blue
191,"Jeong, Ji Su; Han, Seung Hui",Author,Circle,1,Light Blue
192,"Jeong, Sangho; Song, Joung Ho",Author,Circle,1,Light Blue
193,"Jhee, Byong-Kuen; Shin, Geiguen",Author,Circle,1,Light Blue
194,"Joe, Dong-Hee",Author,Circle,1,Light Blue
195,"Johnsen, Eugene C.",Author,Circle,1,Light Blue
196,"Johnson, Hubert C.",Author,Circle,1,Light Blue
197,"Johnson, Terry; Dandeker, Christopher",Author,Circle,1,Light Blue
198,"Joyce, Appleby",Author,Circle,1,Light Blue
199,"Joyce, Mary",Author,Circle,1,Light Blue
200,"Jun, Hae-Won; Hix, Simon",Author,Circle,1,Light Blue
201,"Jung, Hoyong",Author,Circle,1,Light Blue
202,"Jung, Soo Hyun",Author,Circle,1,Light Blue
203,"Jung, Yonju",Author,Circle,1,Light Blue
204,"Kang, David C.; Leheny, David; Cha, Victor D.",Author,Circle,1,Light Blue
205,"Kang, Woo Chang; Park, Won-ho; Song, B. K.",Author,Circle,1,Light Blue
206,"Kaplan, Jay R.",Author,Circle,1,Light Blue
207,"Kaplan, Jay R.; Zucker, E.",Author,Circle,1,Light Blue
208,"Kasakoff, Alice",Author,Circle,1,Light Blue
209,"Katz, Elihu; Paul, F.",Author,Circle,1,Light Blue
210,"Katz, Richard S.; Cross, William P.",Author,Circle,1,Light Blue
211,"Kaufman, Robert R.",Author,Circle,1,Light Blue
212,"Kawai, Masao",Author,Circle,1,Light Blue
213,"Keegan, J.",Author,Circle,1,Light Blue
214,"Keen, Maurice",Author,Circle,1,Light Blue
215,"Keister, Lisa A.",Author,Circle,1,Light Blue
216,"Kemp, Jeremy H.",Author,Circle,1,Light Blue
217,"Kennedy, John G.",Author,Circle,1,Light Blue
218,"Kihl, Young-Whan",Author,Circle,1,Light Blue
219,"Killworth, Peter D.; Bernard, H. Russell",Author,Circle,1,Light Blue
220,"Kim, C. I. Eugene",Author,Circle,1,Light Blue
221,"Kim, C. I. Eugene; Kihl, Young-Whan; Chung, Doock-Kyou",Author,Circle,1,Light Blue
222,"Kim, Chang-jin; Kim, Dae Youn; Huh, Hun",Author,Circle,1,Light Blue
223,"Kim, Cheonsoo; Lee, Soobum",Author,Circle,1,Light Blue
224,"Kim, Chong Lim; Loewenberg, Gerhard",Author,Circle,1,Light Blue
225,"Kim, Chong Lim; Woo, Byung-Kyu",Author,Circle,1,Light Blue
226,"Kim, Hee Min; Choi, Jun Young; Cho, Jinman",Author,Circle,1,Light Blue
227,"Kim, Hye-Sung",Author,Circle,1,Light Blue
228,"Kim, Hyunhee; Oh, Yoo-Seok",Author,Circle,1,Light Blue
229,"Kim, Jae-on; Koh, Byung Chul",Author,Circle,1,Light Blue
230,"Kim, Kyŏng-su",Author,Circle,1,Light Blue
231,"Kim, Meengeon",Author,Circle,1,Light Blue
232,"Kim, Minjeoung",Author,Circle,1,Light Blue
233,"Kim, Nam-Kook",Author,Circle,1,Light Blue
234,"Kim, Sei-Hill; Han, Miejeong",Author,Circle,1,Light Blue
235,"Kim, Soyeon; Shin, Hyun-Han; Yu, Seungwon",Author,Circle,1,Light Blue
236,"Kim, Sung Eun; Cha, Sujin",Author,Circle,1,Light Blue
237,"Kim, Sung-Tae; Kim, Sunmi; 방은주",Author,Circle,1,Light Blue
238,"Kim, Sunhyuk",Author,Circle,1,Light Blue
239,"Kim, Taewan",Author,Circle,1,Light Blue
240,"Kim, Wonik",Author,Circle,1,Light Blue
241,"Kiser, Edgar",Author,Circle,1,Light Blue
242,"Kiser, Edgar; Cai, Yong",Author,Circle,1,Light Blue
243,"Kiser, Edgar; Kane, Joshua",Author,Circle,1,Light Blue
244,"Kiser, Edgar; Linton, April",Author,Circle,1,Light Blue
245,"Kiser, Edgar; Schneider, Joachim",Author,Circle,1,Light Blue
246,"Kleinberg, Jon M.",Author,Circle,1,Light Blue
247,"Knox, Kerry L.; Sade, Donald Stone",Author,Circle,1,Light Blue
248,"Ko, Kyung Hun",Author,Circle,1,Light Blue
249,"Koffka, Kurt",Author,Circle,1,Light Blue
250,"Koh, Byung Chul",Author,Circle,1,Light Blue
251,"Koo, Hagen",Author,Circle,1,Light Blue
252,"Kopelowitz, Ezra; Diamond, Matthew",Author,Circle,1,Light Blue
253,"Kummer, Hans",Author,Circle,1,Light Blue
254,"Kwak, Seung-Jin; Jung, Young-Mi; Kim, Jin-Mook; Bae, Kyung-Jae; Im, Mi-Kyung",Author,Circle,1,Light Blue
255,"Kwon, Soo Hyun; Hwang, Ah-Ran",Author,Circle,1,Light Blue
256,"Lai, Gina; Wong, Odalia",Author,Circle,1,Light Blue
257,"Land, Carl H.",Author,Circle,1,Light Blue
258,"Landau, H. G.",Author,Circle,1,Light Blue
259,"Landes, David S.",Author,Circle,1,Light Blue
260,"Landé, Carl H.",Author,Circle,1,Light Blue
261,"Latour, Bruno; Woolgar, Steve",Author,Circle,1,Light Blue
262,"Lawrence, S. Stepelevich",Author,Circle,1,Light Blue
263,"Leavitt, Harold J.",Author,Circle,1,Light Blue
264,"Lee, Chung Min; Botto, Kathryn",Author,Circle,1,Light Blue
265,"Lee, Don S.; Park, Soonae",Author,Circle,1,Light Blue
266,"Lee, Dong Ok; Brunn, Stanley D.",Author,Circle,1,Light Blue
267,"Lee, Eun-Ju",Author,Circle,1,Light Blue
268,"Lee, Eun-Ju; Lee, Hye-Yon; Choi, Sukyoung",Author,Circle,1,Light Blue
269,"Lee, Eun-Ju; Shin, Soo Yun",Author,Circle,1,Light Blue
270,"Lee, Hong Yung",Author,Circle,1,Light Blue
271,"Lee, Jeongjin",Author,Circle,1,Light Blue
272,"Lee, Jinock; Hwang, Ah-Ran; Kwon, Soo Hyun",Author,Circle,1,Light Blue
273,"Lee, Junhan; Hwang, Wonjae",Author,Circle,1,Light Blue
274,"Lee, Maurice",Author,Circle,1,Light Blue
275,"Lee, Richard",Author,Circle,1,Light Blue
276,"Lee, SangChul",Author,Circle,1,Light Blue
277,"Lee, Sangmook",Author,Circle,1,Light Blue
278,"Lee, Seung-Chal",Author,Circle,1,Light Blue
279,"Lee, Seung-Ook",Author,Circle,1,Light Blue
280,"Lee, Won-Tae; Chang, Woo-young; Min, Hee",Author,Circle,1,Light Blue
281,"Lee, Yoonkyung",Author,Circle,1,Light Blue
282,"Leibiger, Stuart",Author,Circle,1,Light Blue
283,"Leinhardt, Samuel",Author,Circle,1,Light Blue
284,"Lemarchand, René",Author,Circle,1,Light Blue
285,"Levi-Strauss, Claude",Author,Circle,1,Light Blue
286,"Levine, Donald N.",Author,Circle,1,Light Blue
287,"Lie, John",Author,Circle,1,Light Blue
288,"Lim, Yon Soo; Park, Han-Woo",Author,Circle,1,Light Blue
289,"Lindblom, Charles E.",Author,Circle,1,Light Blue
290,"Lippitt, Ronald; Polansky, Norman; Rosen, Sidney",Author,Circle,1,Light Blue
291,"Llamazares, Iván",Author,Circle,1,Light Blue
292,"Lokken, Roy N.",Author,Circle,1,Light Blue
293,"Lorrain, François; White, Harrison C.",Author,Circle,1,Light Blue
294,"Louch, Hugh",Author,Circle,1,Light Blue
295,"Lubbers, Miranda J",Author,Circle,1,Light Blue
296,"Luchterhandt, Galina",Author,Circle,1,Light Blue
297,"Luhmann, Niklas",Author,Circle,1,Light Blue
298,"Lynn, John",Author,Circle,1,Light Blue
299,"Lyons, Martyn",Author,Circle,1,Light Blue
300,"Mackay, Charles",Author,Circle,1,Light Blue
301,"Macy, Michael W.; Willer, Robert",Author,Circle,1,Light Blue
302,"Maenchen-Helfen, J. Otto",Author,Circle,1,Light Blue
303,"Main, Jackson T.",Author,Circle,1,Light Blue
304,"Mair, Lucy P.",Author,Circle,1,Light Blue
305,"Major, J. Russell",Author,Circle,1,Light Blue
306,"March, James G.",Author,Circle,1,Light Blue
307,"Marglin, Stephen A.",Author,Circle,1,Light Blue
308,"Marglin, Stephen A.; Marglin, Stephen A.",Author,Circle,1,Light Blue
309,"Marshall, Lorna",Author,Circle,1,Light Blue
310,"Martin, John   Levi",Author,Circle,1,Light Blue
311,"Martin, John Levi",Author,Circle,1,Light Blue
312,"Martin, John Levi; Yeung, King-To",Author,Circle,1,Light Blue
313,"McAllister, Ian; White, Stephen J.",Author,Circle,1,Light Blue
314,"McCue, Brian",Author,Circle,1,Light Blue
315,"McEachern, Patrick",Author,Circle,1,Light Blue
316,"McHugh, T.",Author,Circle,1,Light Blue
317,"McLean, Paul D.",Author,Circle,1,Light Blue
318,"McLean, Paul D.; Padgett, John F.",Author,Circle,1,Light Blue
319,"McLean, Paul D.",Author,Circle,1,Light Blue
320,"McNeill, William H.",Author,Circle,1,Light Blue
321,"Meggitt, M. J.",Author,Circle,1,Light Blue
322,"Meier, Oliver",Author,Circle,1,Light Blue
323,"Meyer, John W.; Rowan, Brian",Author,Circle,1,Light Blue
324,"Mintz, Sidney W.; Wolf, Eric R.",Author,Circle,1,Light Blue
325,"Mobrand, Erik",Author,Circle,1,Light Blue
326,"Montgomery, James D.",Author,Circle,1,Light Blue
327,"Moody, James",Author,Circle,1,Light Blue
328,"Moon, Sangseok; Kim, Beomsoo; Seo, Jungmin",Author,Circle,1,Light Blue
329,"Moon, Woojin",Author,Circle,1,Light Blue
330,"Morris, Martina",Author,Circle,1,Light Blue
331,"Morriss, Peter",Author,Circle,1,Light Blue
332,"Mortensen, Dale T.",Author,Circle,1,Light Blue
333,"Mosler, Hannes B.",Author,Circle,1,Light Blue
334,"Mouzelis, Nicos",Author,Circle,1,Light Blue
335,"Nam, Jeong-Lim",Author,Circle,1,Light Blue
336,"Nash, Manning",Author,Circle,1,Light Blue
337,"Nathan, Andrew James",Author,Circle,1,Light Blue
338,"Nishida, Toshisada",Author,Circle,1,Light Blue
339,"O'Gorman, Hubert J.",Author,Circle,1,Light Blue
340,"Oberschall, Anthony; Leifer, Eric M.",Author,Circle,1,Light Blue
341,"Ofshe, Richard; Berg, Nancy Eisenberg; Coughlin, Richard; Dolinajec, Gregory; Gerson, Kathleen; Johnson, Avery",Author,Circle,1,Light Blue
342,"Oh, Sookhee",Author,Circle,1,Light Blue
343,"Omoweh, Daniel A.",Author,Circle,1,Light Blue
344,"Opp, Karl-Dieter",Author,Circle,1,Light Blue
345,"Padgett, John F.; McLean, Paul D.",Author,Circle,1,Light Blue
346,"Park, Beomjong",Author,Circle,1,Light Blue
347,"Park, Chan Wook",Author,Circle,1,Light Blue
348,"Park, Han-Woo; Barnett, George A.; Kim, Chun-Sik",Author,Circle,1,Light Blue
349,"Park, Han-Woo; Kim, Chun-Sik; Barnett, George A.",Author,Circle,1,Light Blue
350,"Park, Han-Woo; Kluver, Randolph",Author,Circle,1,Light Blue
351,"Park, Han-Woo; Thelwall, Mike",Author,Circle,1,Light Blue
352,"Park, Ji-Young; Cho, Chung-Lae",Author,Circle,1,Light Blue
353,"Park, Kie-Duck",Author,Circle,1,Light Blue
354,"Park, Myoungho",Author,Circle,1,Light Blue
355,"Park, Sang Un",Author,Circle,1,Light Blue
356,"Park, Se Jung; Lim, Yon Soo; Sams, Steven; Nam, Sang Me; Park, Han-Woo",Author,Circle,1,Light Blue
357,"Perez Zagorin, Rebels",Author,Circle,1,Light Blue
358,"Perkins, Doug",Author,Circle,1,Light Blue
359,"Piepenburg, W. W.",Author,Circle,1,Light Blue
360,"Powell, John Duncan",Author,Circle,1,Light Blue
361,"Powers, Brian",Author,Circle,1,Light Blue
362,"Powicke, Michael",Author,Circle,1,Light Blue
363,"Prinz, Friedrich",Author,Circle,1,Light Blue
364,"Qvarnström, Anna; Forsgren, Elisabet",Author,Circle,1,Light Blue
365,"Ra, Hinde",Author,Circle,1,Light Blue
366,"Radcliffe-Brown, A. R.",Author,Circle,1,Light Blue
367,"Rahat, Gideon",Author,Circle,1,Light Blue
368,"Rainey, Ronald",Author,Circle,1,Light Blue
369,"Rasmussen, Dennis R.",Author,Circle,1,Light Blue
370,"Raymond, Chevallier",Author,Circle,1,Light Blue
371,"Read, K. E.",Author,Circle,1,Light Blue
372,"Reich, Wendelin",Author,Circle,1,Light Blue
373,"Reinhardt, Viktor; Reinhardt, Annie",Author,Circle,1,Light Blue
374,"Rhine, Ramon J.",Author,Circle,1,Light Blue
375,"Ridgeway, Cecilia L.; Erickson, Kristan Glasgow",Author,Circle,1,Light Blue
376,"Riley, Dylan",Author,Circle,1,Light Blue
377,"Robins, Garry; Pattison, Philippa E.; Woolcock, Jodie",Author,Circle,1,Light Blue
378,"Roh, Jungho",Author,Circle,1,Light Blue
379,"Rossi, Ino",Author,Circle,1,Light Blue
380,"Roth, Eric Abella",Author,Circle,1,Light Blue
381,"Rothblum, Uriel G.",Author,Circle,1,Light Blue
382,"Rowell, T. E.",Author,Circle,1,Light Blue
383,"Ryan, Dan",Author,Circle,1,Light Blue
384,"Ryu, Sang-Il; Lee, Min-Kyu",Author,Circle,1,Light Blue
385,"Sade, Donald Stone",Author,Circle,1,Light Blue
386,"Sade, Donald Stone; Altmann, Michael; Loy, James; Hausfater, Glenn; Breuggeman, Judith A.",Author,Circle,1,Light Blue
387,"Sahlins, Marshall D.",Author,Circle,1,Light Blue
388,"Saller, Richard",Author,Circle,1,Light Blue
389,"Savin-Williams, Richard C.",Author,Circle,1,Light Blue
390,"Schjelderup-Ebbe, T.",Author,Circle,1,Light Blue
391,"Schneider, Robert A.",Author,Circle,1,Light Blue
392,"Scott, James C.",Author,Circle,1,Light Blue
393,"Shapin, Steven; Collins, Harry",Author,Circle,1,Light Blue
394,"Sharma, R. S.",Author,Circle,1,Light Blue
395,"Shefter, Martin",Author,Circle,1,Light Blue
396,"Sheley, Joseph F.; Zhang, Joshua; Brody, Charles J.; Wright, James D.",Author,Circle,1,Light Blue
397,"Shim, Jiyeon",Author,Circle,1,Light Blue
398,"Shin, Doh Chull",Author,Circle,1,Light Blue
399,"Shin, Eui Hang",Author,Circle,1,Light Blue
400,"Shin, Gi-Wook; Chang, Paul Y.",Author,Circle,1,Light Blue
401,"Shin, Jae Hyeok",Author,Circle,1,Light Blue
402,"Shin, Jae Hyeok; Lee, Hojun",Author,Circle,1,Light Blue
403,"Shin, Jungsub",Author,Circle,1,Light Blue
404,"Shin, Ki-young",Author,Circle,1,Light Blue
405,"Shin, Ki-young; Kwon, Soo Hyun",Author,Circle,1,Light Blue
406,"Shin, Myungsoon",Author,Circle,1,Light Blue
407,"Shin, Myungsoon; Jin, Youngjae; Gross, Donald A.; Eom, Kihong",Author,Circle,1,Light Blue
408,"Shorrock, Tim",Author,Circle,1,Light Blue
409,"Showalter, Dennis E.",Author,Circle,1,Light Blue
410,"Shwayri, Sofia T.",Author,Circle,1,Light Blue
411,"Silberbauer, George B.",Author,Circle,1,Light Blue
412,"Silk, Joan B.",Author,Circle,1,Light Blue
413,"Silver, Allan",Author,Circle,1,Light Blue
414,"Simmel, Georg",Author,Circle,1,Light Blue
415,"Simon, Herbert A.",Author,Circle,1,Light Blue
